News#,Title Content, match,Score,Polarity
27,"HONEYWELL BULL INTRODUCES HIGH PERFORMANCE COMPUTERS FOR MEDIUM, LARGE FIRMS",,0,Neutral
28,"PORK BELLY FUTURES START HIGHER, THEN EASE",ease,1,Positive
29,"MISSOURI DIRECT HOGS UP 1.00-1.50 DLR - USDA",hogs,-1,Negative
30,"VOLCKER SEES TIGHT POLICY HURTING INVESTMENT",hurting,-1,Negative
31,"REUTERS &lt;RtrSY> UNIT COMPLETES TRADING SYSTEM",,0,Neutral
32,"LONDON LIFFE D.MARK CLOSE 1614 - APR 7",,0,Neutral
33,"LONDON LIFFE S.FRANC CLOSE 1616 - APR 7",,0,Neutral
34,"CBT SOYBEAN FUTURES OPEN SLIGHTLY FIRMER",firmer,1,Positive
35,"DOLLAR REMAINS IN NARROW RANGE IN QUIET ZURICH",quiet,1,Positive
36,"ST LOUIS CATTLE STEADY/UP 0.50 DLR - USDA",steady,1,Positive
37,"LIFFE, AFTER RECORD VOLUMES, SEES MORE GROWTH",,0,Neutral
38,"NEW BEDFORD INSTITUTION FOR SAVINGS &lt;NBBS> YEAR",savings,1,Positive
39,"HONEYWELL BULL UNVEILS FIVE NEW COMPUTERS",,0,Neutral
40,"OXFORD ENERGY CO &lt;OEN> TO BUILD ENRGY PLANT",,0,Neutral
41,"POLYDEX &lt;POLXF> ANTI-WRINKLE INGREDIENT PATENTED",wrinkle,-1,Negative
42,"DIGITAL TRANSMISSION &lt;DTINU> OFFERS UNITS",,0,Neutral
43,"CBT SOYPRODUCT FUTURES HIGHER IN EARLY TRADE",,0,Neutral
44,"PRESIDENTIAL AIR &lt;PAIR> IN SALE/LEASEBACK",,0,Neutral
45,"MIDWEST GRAIN FUTURES 11:20 EDT",,0,Neutral
46,"HIGHWOOD &lt;HIWDF> COMMENTS ON SHARE PRICE RISE",,0,Neutral
47,"SPOT TIN SLIGHTLY LOWER ON EUROPEAN FREE MARKET",free,1,Positive
48,"FHLBB CHANGES SHORT-TERM DISCOUNT NOTE RATES",,0,Neutral
49,"GENERAL ELECTRIC&lt;GE>-POWERED HELICOPTER UNVEILED",,0,Neutral
50,"REUTER UNIT COMPLETES MERRILL LYNCH TRADING SYSTEM",,0,Neutral
51,"AFRICAN DEVELOPMENT BANK LOANS ROSE 42 PCT IN 1986",,0,Neutral
52,"OMAHA CATTLE UP 0.50 DLR - USDA",,0,Neutral
53,"MELRIDGE &lt;BULB> UNIT IN REAL ESTATE AGREEMENT",agreement,1,Positive
54,"PHOTRONICS CORP &lt;PHOT> YEAR FEB 28 NET",,0,Neutral
55,"MIDWAY AIRLINES &lt;MDWY> MARCH LOAD FACTOR FALLS",falls,-1,Negative
56,"OCEAN BIO-CHEM INC &lt;OBCI> YEAR NET",,0,Neutral
57,"LOWE'S &lt;LOW> TO SELL DURAKON &lt;DRKN> LINER",,0,Neutral
58,"FEDERAL RESOURCES &lt;FDRC> NAMES NEW PRESIDENT",,0,Neutral
59,"WALKER TELECOMMUNICATIONS &lt;WTEL> GETS CONTRACT",,0,Neutral
60,"AIDC ISSUES AUSTRALIAN DOLLAR ZERO COUPON EUROBOND",issues,-1,Negative
61,"TELE-COMMUNICATIONS &lt;TCOMA> SELLS CABLE SYSTEMS",,0,Neutral
62,"SWEDISH FINANCE FIRMS SEEN HIT BY DEREGULATION",,0,Neutral
63,"WALL STREET STOCKS HIGHER IN LATE MORNING",,0,Neutral
64,"ENVIRONMENTAL POWER CORP &lt;POWR> YEAR NET",,0,Neutral
65,"SWEDISH INDUSTRY SEES HIGHER 1987 PRODUCTION",,0,Neutral
66,"U.S. ENERGY FUTURES STEADY BUT QUIET",quiet, steady,2,Positive
67,"GERMAN LONG-TERM CAPITAL INFLOW SLUMPS IN FEBRUARY",,0,Neutral
68,"BRITISH TELECOM, NTT SIGN COOPERATION AGREEMENT",agreement,1,Positive
69,"SIOUX CITY CATTLE UP 0.50/1.00 DLR - USDA",,0,Neutral
70,"N.Y. COTTON FUTURES STEADY IN EARLY TRADING",steady,1,Positive
71,"SIOUX CITY HOGS STEADY/UP 1.25 DLR - USDA",hogs, steady,0,Neutral
72,"MIDWEST GRAIN FUTURES 11:31 EDT",,0,Neutral
73,"EC SOURCES SAY UK WHEAT PLAN YET TO BE APPROVED",,0,Neutral
74,"BROKERAGE FIRM UPS STAKE IN ALLEGHENY &lt;AG>",,0,Neutral
75,"U.K. GRAIN FUTURES CLOSE STEADY TO FIRMER",firmer, steady,2,Positive
76,"KANSAS CITY SHIPMENTS AND RECEIPTS",,0,Neutral
77,"STONE &lt;STO> FILES FOR SECONDARY OFFERING",,0,Neutral
78,"LME METAL PM 2ND RING VOLUMES/PAIDS - APR 7",,0,Neutral
79,"SPOT LARD, TALLOW, GREASE STEADY",steady,1,Positive
80,"BOEING PROPOSES WESTLAND DEAL",,0,Neutral
81,"ENVIRONMENTAL POWER &lt;POWR> GETS CONTRACTS",,0,Neutral
82,"LONE STAR &lt;LCE> SEES FLAT U.S. CEMENT DEMAND",lone,-1,Negative
83,"U.S. ALUMINUM STOCKS HIGHER IN DECEMBER - ABMS",,0,Neutral
84,"MALTA TENDERS FOR WHITE SUGAR TODAY - TRADE",,0,Neutral
85,"CALTON &lt;CN> OFFERING DECLARED EFFECTIVE",effective,1,Positive
86,"CHILI'S &lt;CHLI> FILES FOR CONVERTIBLE DEBENTURES",,0,Neutral
87,"GOTTHARD BANK SELLS WARRANTS INTO DAINIPPON INK",,0,Neutral
88,"FED SETS TWO-DAY SYSTEM REPURCHASES, FED SAYS",,0,Neutral
89,"ALIAS RESEARCH IN CAPITAL JOINT VENTURE",,0,Neutral
90,"EMERY AIR &lt;EAF> MARCH SHIPMENTS RISE",,0,Neutral
91,"CORROON AND BLACK &lt;CBL> COMPLETE ACQUISITION",,0,Neutral
92,"COLONIAL &lt;CLBGA> TO ACQUIRE PENSACOLA BANK",,0,Neutral
93,"KANSAS CITY WHEAT MARGINALLY FIRMER AT MIDDAY",firmer, marginally,0,Neutral
94,"MIDWEST GRAIN FUTURES 11:40 EDT",,0,Neutral
95,"ST JOSEPH HOGS UP 1.00/1.50 DLR - USDA",hogs,-1,Negative
96,"Ia-So Minn direct hogs estimated rcpts 80,000 vs actual week ago 85,000 and actual year ago 72,000.",hogs,-1,Negative
97,"OHIO DIRECT HOGS UP 1.00 DLR - USDA",hogs,-1,Negative
98,"ONTARIO TREASURY BILL YIELD RISES",,0,Neutral
99,"UNIVERSITY &lt;UPT> REPORTS MARCH LENS SALE",,0,Neutral
100,"SUPER RITE FOODS INC &lt;SRFI> SETS QTRLY PAYOUT",super,1,Positive
101,"KANSAS CITY HOGS UP 1.50 DLR - USDA",hogs,-1,Negative
102,"MILTON ROY CO &lt;MRC> SETS QUARTERLY",,0,Neutral
103,"JOLIET HOGS UP 1.00 DLR - USDA",hogs,-1,Negative
104,"INDIANA DIRECT HOGS UP 1.00/1.50 DLR - USDA",hogs,-1,Negative
105,"DELTA AIR &lt;DAL> TO EXPAND PASSENGER TERMINAL",,0,Neutral
106,"DOLLAR STEADY IN LATE PARIS TRADING",steady,1,Positive
107,"GOLDSIL AND GOLDEN RULE AGREE TO MERGE",golden,1,Positive
108,"FED SETS TWO-DAY SYSTEM REPURCHASES",,0,Neutral
109,"COLONIAL BANCGROUP INC &lt;CLBGA> 1ST QTR NET",,0,Neutral
110,"Dresdner to propose 1986 dividend 10 marks vs same, one-for-18 bonus share issue",issue, bonus,0,Neutral
111,"LONDON OILS/SEEDS CLOSE QUIETLY MIXED",,0,Neutral
112,"WALL STREET STOCKS/AUTOMAKERS",,0,Neutral
113,"ST PAUL CATTLE UP 1.00/1.50 DLR - USDA",,0,Neutral
114,"ST PAUL HOGS UP 1.00/2.00 DLRS - USDA",hogs,-1,Negative
115,"EUROPEAN SOY/FEED AFTERNOON GENERALLY ACTIVE",,0,Neutral
116,"CASH SOYMEAL BASIS STEADY IN INCREASED TRADE",steady,1,Positive
117,"MIDWEST GRAIN FUTURES 11:50 EDT",,0,Neutral
118,"BROWNING-FERRIS &lt;BFI> UNIT SEEKS WASTE PERMIT",waste,-1,Negative
119,"LONDON SOYMEAL FUTURES CLOSE QUIETLY MIXED",,0,Neutral
120,"WHITE HOUSE SAYS A.I.D. CHIEF PETER MCPHERSON TO BE DEPUTY TREASURY SECRETARY",,0,Neutral
121,"JAPAN CUTS CHIP SUPPLY, MAY PRODUCE SHORTAGE",shortage,-1,Negative
122,"SENIOR TREASURY AIDE SAYS PARIS PACT TO BE REVIEWED, U.S. THINKS IT SUCCESSFUL",successful,1,Positive
123,"INVESTORS RAISE STAKE IN PUROLATOR &lt;PCC>",,0,Neutral
124,"SENIOR U.S. AIDE SAYS NO CONSENSUS YET ON PARIS CLUB RELIEF FOR POOREST NATIONS",poorest, relief,0,Neutral
125,"LONDON COCOA GRADINGS/TENDERS - APR 7",,0,Neutral
126,"LONDON COFFEE GRADINGS/TENDERS AFTERNOON - APR 7",,0,Neutral
127,"DUTCH MONEY MARKET DEBT RISES IN WEEK",debt,-1,Negative
128,"INTERNATIONAL BOND HIGHLIGHTS - APRIL 7",,0,Neutral
129,"SENATE FARM LEADER URGES HELP FOR RURAL AMERICA",,0,Neutral
130,"KUWAIT ASKS TO USE FOREIGN FLAG TANKERS, U.S SAYS",,0,Neutral
131,"U.S. GRAIN CERTS SAVE 50-100 MLN DLRS - AMSTUTZ",,0,Neutral
132,"GM &lt;GM> SHIFTS LATIN AMERICAN, ASIA OFFICERS",,0,Neutral
133,"VOLCKER SAYS FED POLICY NOT RESPONSIBLE FOR PRIME RATE RISE",,0,Neutral
134,"LONDON EURODOLLAR DEPOSITS CLOSE QUIETLY STEADY",steady,1,Positive
135,"U.S. URGES SURPLUS NATIONS TO BOOST GROWTH",boost,1,Positive
136,"REUTER COMMODITIES NEWS HIGHLIGHTS 1600 GMT - APRIL 7",,0,Neutral
137,"MIDWEST GRAIN FUTURES 12:00 EDT",,0,Neutral
138,"CBT CORN SPREADS",,0,Neutral
139,"MIDWEST GRAIN FUTURES 12:01 EDT",,0,Neutral
140,"CBT SOYBEAN SPREADS",,0,Neutral
141,"CBT SOYBEAN OIL SPREADS",,0,Neutral
142,"LONDON GOLD CLOSES OFF LOWS",gold,1,Positive
143,"CBT CORN FUTURES HOLD GAINS AT MIDSESSION",gains,1,Positive
144,"CBT SOYBEAN MEAL SPREADS",,0,Neutral
145,"CASH PORK CALLED MIXED, BEEF HIGHER",,0,Neutral
146,"GANDALF &lt;GANDF>, BRITISH TELECOM IN AGREEMENT",agreement,1,Positive
147,"MANHATTAN NATIONAL &lt;MLC> NAMES NEW CHAIRMAN",,0,Neutral
148,"ACME PRECISION &lt;ACL> SETS HOLDER VOTE ON BUYOUT",,0,Neutral
149,"UAL &lt;UAL> AIRLINE PILOTS HOLDING NATIONAL MEETING",,0,Neutral
150,"NATIONAL GYPSUM DEBT UPGRADED BY MOODY'S",upgraded, moody, debt,-1,Negative
151,"NYNEX &lt;NYN> TO HIRE TEMPORARY WORK FORCE",work,1,Positive
152,"ERICSSON &lt;ERICY> GETS U S WEST &lt;USW> ORDER",,0,Neutral
153,"MINNEAPOLIS SPRING WHEAT MOSTLY UP AT MIDDAY",,0,Neutral
154,"MIDWEST GRAIN FUTURES 12:10 EDT",,0,Neutral
155,"VOLCKER SAYS FED POLICY NOT LINKED TO RATE RISE",,0,Neutral
156,"MIDDAY WINNIPEG OILSEEDS HIGHER",,0,Neutral
157,"SCRAP COPPER QUOTED AT NOMINAL 51.50 CENTS",scrap,-1,Negative
158,"LONDON COMMODITY EXCHANGE VOLUME STEADY - ICCH",steady,1,Positive
159,"BANK OF ENGLAND EFFECTIVE INDEX SHOWS DOLLAR AT 101.6",effective,1,Positive
160,"INTERNATIONAL CREDIT HIGHLIGHTS - APRIL 7",,0,Neutral
161,"CANADA STOCKS HIGHER AT MIDSESSION",,0,Neutral
162,"AEGON ISSUES 200 MLN GUILDER BONDS WITH WARRANTS",issues,-1,Negative
163,"OMAHA HOGS UP 1.00 DLR - USDA",hogs,-1,Negative
164,"WEIS MARKETS &lt;WMK> IN THREE FOR TWO STOCK SPLIT",split,-1,Negative
165,"RAYTHEON &lt;RTN> RECEIVES 37.5 MLN DLR CONTRACT",,0,Neutral
166,"LORIMAR &lt;LT> GETS OUTBOARD MARINE &lt;OMC> PACT",,0,Neutral
167,"MCCORMICK CAPITAL &lt;MKOR> 1986 YEAR NET",,0,Neutral
168,"N.Y. FCOJ FUTURES SURGE, OFF HIGHS MIDDAY",,0,Neutral
169,"LONDON SUGAR RALLIES FROM LOWS BY LATE AFTERNOON",,0,Neutral
170,"PLEXUS &lt;PLUSF> SETS EQUITY FINANCING",,0,Neutral
171,"LIVE CATTLE FUTURES MIXED AT MIDSESSION",,0,Neutral
172,"U.S. SAYS NO PACT ON RELIEF FOR POOREST STATES",poorest, relief,0,Neutral
173,"LOUISVILLE FEEDERS STEADY/UP 1.00 DLR - USDA",steady,1,Positive
174,"U.S. MINT SEEKING OFFERS ON COPPER, NICKEL",,0,Neutral
175,"FAMILY HEALTH SYSTEMS &lt;FHSY> TO MAKE PURCHASE",,0,Neutral
176,"EC SUGAR IMPORT LEVIES",,0,Neutral
177,"OLD FASHION FOODS INC &lt;OFFI> 3RD QTR FEB 28 NET",,0,Neutral
178,"CBT WHEAT FUTURES EASE TO MIXED BY MIDSESSION",ease,1,Positive
179,"LME COPPER CLOSES AFTER RETREAT FROM EARLIER HIGHS",retreat,-1,Negative
180,"MOTOROLA &lt;MOT> SELECTS SYSTEM COMPILERS",,0,Neutral
181,"MIDWEST GRAIN FUTURES 12:20 EDT",,0,Neutral
182,"MIDSESSION FEEDER CATTLE FUTURES MIXED",,0,Neutral
183,"CONSOLIDATED-BATHURST SEES BETTER MARKET",better,1,Positive
184,"LONDON COFFEE CLOSES FIRMER IN DULL TRADING",firmer, dull,0,Neutral
185,"LONDON EXCHANGES - SDR CALCULATION",,0,Neutral
186,"MORE U.S. GRAIN CERTIFICATES NEEDED, STUDY SAYS",,0,Neutral
187,"CUMMINS ENGINE &lt;CUM> SEES IMPROVED EARNINGS",improved,1,Positive
188,"NORTH-WEST TELECOM &lt;NOWT> MAKES ACQUISITION",,0,Neutral
189,"MILTON ROY CO &lt;MRC> SETS REGULAR DIVIDEND",,0,Neutral
190,"LIVE HOG FUTURES UP FURTHER AT MIDSESSION",,0,Neutral
191,"LONDON GASOIL CALL COMPLETE 1723 - APR 7",,0,Neutral
192,"bBANK OF CANADA DOLLAR STERLING RATES",,0,Neutral
193,"OKLAHOMA CITY FEEDERS STEADY - USDA",steady,1,Positive
194,"OHIO MATTRESS CO &lt;OMT> 1ST QTR FEB 28 NET",,0,Neutral
195,"MOODY'S MAY UPGRADE PUBLIC SERVICE INDIANA'S 1.1 BILLION DLRS OF DEBT",moody, debt,-2,Negative
196,"WORLD SUGAR FUTURES PARE LOSSES BY MIDSESSION",losses,-1,Negative
197,"ITALIAN BANK DEPOSIT GUARANTEE FUND APPROVED",guarantee,1,Positive
198,"COMPUTER NETWORK&lt;CMNT> MAKES SIX INSTALLATIONS",,0,Neutral
199,"LME NICKEL CLOSE SLIPS TO DAY'S LOW",,0,Neutral
200,"CBT SOYBEAN FUTURES MOSTLY HIGHER AT MIDSESSION",,0,Neutral
201,"YUGOSLAVIA DISCUSSES COMMERCIAL DEBT REFINANCING",debt,-1,Negative
202,"LME LEAD CLOSES FIRMER",firmer, lead,2,Positive
203,"LONDON SUGAR NO.6 AT 1730 - APR 7",,0,Neutral
204,"BOESKY AIDE DAVIDOFF CONSENTS TO SEC PENALTIES; AGREES TO HELP INVESTIGATION",,0,Neutral
205,"USSR CROP WEATHER SUMMARY -- USDA/NOAA",,0,Neutral
206,"DOLLAR SLIGHTLY LOWER AT NEW YORK MIDSESSION",,0,Neutral
207,"LONDON COCOA CLOSES NARROWLY MIXED",,0,Neutral
208,"SIOUX FALLS HOGS UP 1.50/1.75 DLR - USDA",falls, hogs,-2,Negative
209,"MIDWEST GRAIN FUTURES 12:30 EDT",,0,Neutral
210,"U.S. HOUSE LEADER THINKS TAX HIKE WILL PASS",,0,Neutral
211,"WALL STREET STOCKS HIGHER AT MIDSESSION",,0,Neutral
212,"U.S. WEATHER/COTTON SUMMARY -- USDA/NOAA",,0,Neutral
213,"COMEX SILVER FUTURES HOLD GAINS AT MIDDAY",gains,1,Positive
214,"PORK BELLY FUTURES HIGHER AT MIDSESSION",,0,Neutral
215,"DOLLAR STEADY IN EUROPE AHEAD OF WASHINGTON TALKS",steady,1,Positive
216,"U.S. GOLD FUTURES HOLD PARED GAINS AT MIDSESSION",gold, gains,2,Positive
217,"DALTEX &lt;DLTX> ASSIGNED PATENT FOR SKIN THERAPY",,0,Neutral
218,"GRAIN SHIPS WAITING AT NEW ORLEANS",,0,Neutral
219,"CBT SOYPRODUCT FUTURES HIGHER AT MIDSESSION",,0,Neutral
220,"CASH WHOLESALE BEEF PRICES",,0,Neutral
221,"LME ZINC CLOSES STEADY AT LOWER LEVELS",steady,1,Positive
222,"U.S. SAYS NO PACT ON RELIEF FOR POOREST STATES",poorest, relief,0,Neutral
223,"BIFFEX FALLS FURTHER BY CLOSE",falls,-1,Negative
224,"MIDWEST GRAIN FUTURES 12:40 EDT",,0,Neutral
225,"WEST FARGO CATTLE UP 2.00 DLRS - USDA",,0,Neutral
226,"CASH WHOLESALE PORK PRICES",,0,Neutral
227,"CASH GRAIN SORGHUM PRICES",,0,Neutral
228,"COCOA/COFFEE/SUGAR TRADE NEWS/MARKET COMMENT",,0,Neutral
229,"N.Y. PLATINUM FUTURES HIGHER AT MIDSESSION",,0,Neutral
230,"BOESKY AIDE AGREES TO STOCK TRADING PENALTIES",,0,Neutral
231,"GENERAL PARTNERS IS TERMINATING OFFER FOR GENCORP INC",,0,Neutral
232,"TX/W OKLA FEEDLOT CATTLE STDY/UP 0.50 DLR-USDA",,0,Neutral
233,"MIYAZAWA LEAVES HOTEL FOR MEETING WITH BAKER AT TREASURY, JAPANESE OFFICIALS SAY",,0,Neutral
234,"U.S. LIVESTOCK STRESSED BY WEATHER--USDA/NOAA",,0,Neutral
235,"BURLINGTON NORTHERN INC 1ST QTR SHR PROFIT 93 CTS VS LOSS 3.55 DLRS",loss,-1,Negative
236,"IOWA GRAIN ELEVATOR EXPLODES, BURNS",burns,-1,Negative
237,"U.S. CREDIT MARKETS MIXED AT MIDSESSION",,0,Neutral
238,"MIDWEST GRAIN FUTURES 12:50 EDT",,0,Neutral
239,"ARTISTIC GREETINGS &lt;ARTG> SEES RECOVERY IN NET",recovery,1,Positive
240,"PARTNERSHIP BUYS 5.1 PCT ORANGE-CO &lt;OJ> STAKE",,0,Neutral
241,"COOPERATIVE ENERGY TESTS OIL AT TWO WELLS",cooperative,1,Positive
242,"AVINDA DEBENTURES CONVERTED TO COMMON SHARES",,0,Neutral
243,"COMEX COPPER FUTURES DROP LATE, SETTLE LOWER",,0,Neutral
244,"MAY&lt;MA> NAMES CHAIRMAN FOR L.S. AYRES DIVISION",,0,Neutral
245,"DOW &lt;DOW> UNIT GETS FDA REVERSE OSMOSIS PERMIT",,0,Neutral
246,"CUMMINS ENGINE CO INC &lt;CUM> SETS PAYOUT",,0,Neutral
247,"LIVE HOG FUTURES TRIM SHARP GAINS AT CLOSE",gains, sharp,2,Positive
248,"CBT SOYBEAN FUTURES CLOSE STRONG IN NEW CROP",strong,1,Positive
249,"PHILADELPHIA ELECTRIC &lt;PE> REPLACES ENGINEER",,0,Neutral
250,"KANSAS CITY WHEAT LOSES EARLY GAINS, ENDS LOWER",loses, gains,0,Neutral
251,"MOODY'S DOWNGRADES 1.8 BILLION DLRS OF DEERE, RELATED DEBT",moody, debt,-2,Negative
252,"CANADA LAWMAKERS URGE EXEMPTION FROM U.S. BILL",,0,Neutral
253,"CENTRAL BANCSHARES &lt;CBSS> 1ST QTR NET",,0,Neutral
254,"U.S. CERTIFIED COFFEE STOCKS DOWN IN LATEST WEEK",,0,Neutral
255,"REUTER WORLD NEWS HIGHLIGHTS 1800 GMT APRIL 7",,0,Neutral
256,"TEXTRON &lt;TXT> PLANS SALE OF AVCO DIVISION",,0,Neutral
257,"N.Y. PLATINUM FUTURES FINISH HIGHER",,0,Neutral
258,"GREEN TREE ACCEPTANCE INC &lt;GNT> 1ST QTR NET",,0,Neutral
259,"MINNEAPOLIS WHEAT PROTEIN SCALES",,0,Neutral
260,"U.S. IMMIGRATION RULES SPARK CONGRESS OBJECTIONS",objections,-1,Negative
261,"JAMESWAY &lt;JMY> SEES YEAR SALES AT 700 MLN DLRS",,0,Neutral
262,"BANK SEES STRONG DEMAND FOR BTP PRIVATISATION OFFER",strong,1,Positive
263,"CHICAGO BOARD OF TRADE DELIVERABLE GRAIN STOCKS",,0,Neutral
264,"CUBA CRUDE SUGAR HARVEST FAR BEHIND SCHEDULE",crude,-1,Negative
265,"ATT &lt;T> GETS GEORGIA RATE REDUCTION APPROVAL",approval,1,Positive
266,"CHICAGO DELIVERABLE WHEAT STOCKS",,0,Neutral
267,"CBT CORN FUTURES CLOSE HIGHER ON FIRM NOTE",,0,Neutral
268,"CHICAGO DELIVERABLE SOYBEAN STOCKS",,0,Neutral
269,"MINNEAPOLIS SPRING WHEAT CLOSES HIGHER",,0,Neutral
270,"DELIVERABLE GRADE GUIDE",,0,Neutral
271,"MINNEAPOLIS DELIVERABLE OAT STOCKS",,0,Neutral
272,"PORK BELLY FUTURES CLOSE MIXED",,0,Neutral
273,"COMEX SILVER FUTURES CLOSE ON HIGHS",,0,Neutral
274,"TOLEDO DELIVERABLE WHEAT STOCKS",,0,Neutral
275,"WORLD SUGAR FUTURES RALLY LATE, SETTLE HIGHER",,0,Neutral
276,"TOLEDO DELIVERABLE CORN STOCKS",,0,Neutral
277,"LUMBER FUTURES TRIM LOSSES AT CLOSE",losses,-1,Negative
278,"CHASE MANHATTAN TO CLOSE PERU CONSUMER OPERATION",,0,Neutral
279,"ST LOUIS DELIVERABLE CORN STOCKS",,0,Neutral
280,"TOLEDO DELIVERABLE SOYBEAN STOCKS",,0,Neutral
281,"AVON SAYS IT TO BUY GIORGIO INC, A FRAGRANCE COMPANY, FOR 185 MLN DLRS",,0,Neutral
282,"CANADIAN METALS - April 7",,0,Neutral
283,"COMEX ALUMINUM FUTURES SETTLE UNCHANGED",,0,Neutral
284,"KANSAS CITY DELIVERABLE GRAIN STOCKS",,0,Neutral
285,"TWA SAYS MARCH SYSTEM LOAD FACTOR RISES TO 67.4 PCT FROM 60.4 PCT A YEAR AGO",,0,Neutral
286,"MAGMA LOWERS COPPER PRICE 0.50 CT TO 65.50 CTS",,0,Neutral
287,"MINNEAPOLIS DELIVERABLE SPRING WHEAT STOCKS",,0,Neutral
288,"YEUTTER WARNS CONGRESS ON TRADE RETALIATION",,0,Neutral
289,"JEUMONT-SCHNEIDER SETS UP CANADIAN SUBSIDIARY",,0,Neutral
290,"U.S. GOLD FUTURES END STRONGER, NEAR DAY'S HIGHS",gold, stronger,2,Positive
291,"WASTE MANAGEMENT &lt;WMT> CANNOT ACCOUNT FOR DROP",waste,-1,Negative
292,"IRAQ CCC CREDIT GUARANTEES SWITCHED - USDA",,0,Neutral
293,"AVON PRODUCTS &lt;AVP> TO BUY GIORGIO FOR 185 MLN",,0,Neutral
294,"NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE",,0,Neutral
295,"CBT WHEAT FUTURES RALLY TO CLOSE HIGHER",,0,Neutral
296,"HONDURAS SEEKING PL-480 VESSELS FOR BULK WHEAT",,0,Neutral
297,"BRAZIL SETS UP SPECIAL DEBT COMMISSION",debt,-1,Negative
298,"DEERE &lt;DE> AND UNIT DEBT DOWNGRADED BY MOODY'S",moody, debt,-2,Negative
299,"MAGMA LOWERS COPPER PRICE 0.50 CT TO 65.50 CTS",,0,Neutral
300,"TWA &lt;TWA> MARCH TRAFFIC RISES",,0,Neutral
301,"NY COTTON EXTENDS GAINS LATE, SETTLES HIGHER",gains,1,Positive
302,"CBT SOYPRODUCT FUTURES CLOSE MIXED",,0,Neutral
303,"GENCORP &lt;GY> SAYS BUYBACK BETTER THAN TAKEOVER",better,1,Positive
304,"WALL STREET STOCKS LOWER IN LATE TRADING",,0,Neutral
305,"BERRY PETROLEUM, NORRIS OIL &lt;NOIL> TO MERGE",,0,Neutral
306,"CCC CREDITS FOR BANGLADESH AMENDED - USDA",,0,Neutral
307,"ALLIED-SIGNAL &lt;ALD> UNIT TO CUT EMPLOYEES",,0,Neutral
308,"NY COCOA FUTURES CLOSE MIXED",,0,Neutral
309,"CCC SEED CREDIT GURANTEES FOR ALGERIA - USDA",,0,Neutral
310,"AMR &lt;AMR> FORMS NEW INVESTMENT UNIT",,0,Neutral
311,"USDA ANNOUNCES WORLD MARKET RICE PRICES",,0,Neutral
312,"TOTAL SYSTEM SERVICES INC &lt;TSYS> 1ST QTR NET",,0,Neutral
313,"HUBCO INC &lt;HCO> 1ST QTR NET",,0,Neutral
314,"KANSAS CITY GULF EXPORT PRICES - USDA",,0,Neutral
315,"MANHATTAN NATIONAL &lt;MLC> ELECTS CHAIRMAN",,0,Neutral
316,"CHICAGO CASH GRAIN",,0,Neutral
317,"&lt;WILDERNESS EXPERIENCE INC> 4TH QTR LOSS",, loss,-1,Negative
318,"TOTAL SYSTEMS SERVICES &lt;TSYS> 1ST QTR NET",,0,Neutral
319,"WILDERNESS EXPERIENCE MAY FILE FOR BANKRUPTCY",,0,Neutral
320,"KANSAS CITY DAILY FEED-WHOLESALE PRICES (USDA)",,0,Neutral
